user	SystemUser	用户管理	{"en-US": "Users", "ja-JP": "ユーザー管理", "ko-KR": "사용자 관리", "zh-CN": "用户管理", "zh-TW": "用戶管理"}
NULL	NULL	菜单授权	{"en-US": "Menu Authorization", "ja-JP": "メニュー認可", "ko-KR": "메뉴 인증", "zh-CN": "菜单授权", "zh-TW": "選單授權"}
NULL	NULL	导出字典	{"en-US": "Export Dictionary", "ja-JP": "辞書エクスポート", "ko-KR": "사전 내보내기", "zh-CN": "导出字典", "zh-TW": "匯出字典"}
NULL	NULL	导出字典类型	{"en-US": "Export Dict Types", "ja-JP": "辞書タイプエクスポート", "ko-KR": "사전 유형 내보내기", "zh-CN": "导出字典类型", "zh-TW": "匯出字典類型"}
NULL	NULL	导出表格配置	{"en-US": "Export Table Config", "ja-JP": "テーブル設定エクスポート", "ko-KR": "테이블 설정 내보내기", "zh-CN": "导出表格配置", "zh-TW": "匯出表格設定"}
NULL	NULL	导出租户	{"en-US": "Export Tenants", "ja-JP": "テナントエクスポート", "ko-KR": "테넌트 내보내기", "zh-CN": "导出租户", "zh-TW": "匯出租戶"}
tenantMessageWhitelist	SystemTenantMessageWhitelist	租户消息白名单	{"en-US": "Tenant Message Whitelist", "ja-JP": "テナントメッセージホワイトリスト", "ko-KR": "Tenant Message Whitelist", "zh-CN": "租户消息白名单", "zh-TW": "租戶消息白名單"}
dashboard	ApprovalDashboard	审批工作台	{"en-US": "Approval Dashboard", "ja-JP": "承認ダッシュボード", "ko-KR": "승인 대시보드", "zh-CN": "审批工作台", "zh-TW": "審批工作台"}
dashboard	ApprovalDashboard	审批工作台	{"en-US": "Approval Dashboard", "ja-JP": "承認ダッシュボード", "ko-KR": "승인 대시보드", "zh-CN": "审批工作台", "zh-TW": "審批工作台"}
NULL	NULL	测试	{"en-US": "Test", "ja-JP": "テスト", "ko-KR": "테스트", "zh-CN": "测试", "zh-TW": "測試"}
NULL	NULL	导入	{"en-US": "Import", "ja-JP": "インポート", "ko-KR": "가져오기", "zh-CN": "导入", "zh-TW": "導入"}
integration	IntegrationHome	接口平台主页	{"en-US": "Integration Platform Home", "ja-JP": "接口平台主页", "ko-KR": "接口平台主页", "zh-CN": "接口平台主页", "zh-TW": "接口平台主页"}
NULL	NULL	授权	{"en-US": "Authorization", "ja-JP": "認証", "ko-KR": "권한 설정", "zh-CN": "授权", "zh-TW": "授權"}
NULL	NULL	配置映射	{"en-US": "Configure Mapping", "ja-JP": "マッピング設定", "ko-KR": "매핑 설정", "zh-CN": "配置映射", "zh-TW": "配置映射"}
NULL	NULL	查看模板	{"en-US": "label:template:view", "ja-JP": "查看模板", "ko-KR": "label:template:view", "zh-CN": "查看模板", "zh-TW": "查看模板"}
excelConfig	NULL	Excel配置	{"en-US": "Excel Config", "ja-JP": "Excel設定", "ko-KR": "Excel 설정", "zh-CN": "Excel配置", "zh-TW": "Excel配置"}
NULL	NULL	删除	{"en-US": "sys:codegen:delete", "ja-JP": "删除", "ko-KR": "sys:codegen:delete", "zh-CN": "删除", "zh-TW": "删除"}
NULL	NULL	导入	{"en-US": "Import", "ja-JP": "インポート", "ko-KR": "가져오기", "zh-CN": "导入", "zh-TW": "匯入"}
NULL	NULL	生成租户	{"en-US": "生成租户", "ja-JP": "生成租户", "ko-KR": "生成租户", "zh-CN": "生成租户", "zh-TW": "生成租户"}
NULL	NULL	导出用户	{"en-US": "Export Users", "ja-JP": "ユーザーエクスポート", "ko-KR": "사용자 내보내기", "zh-CN": "导出用户", "zh-TW": "匯出用戶"}
NULL	NULL	绑定人员	{"en-US": "sys:role:authUser", "ja-JP": "绑定人员", "ko-KR": "sys:role:authUser", "zh-CN": "绑定人员", "zh-TW": "绑定人员"}
NULL	NULL	生成编码	{"en-US": "Generate Code", "ja-JP": "コード生成", "ko-KR": "코드 생성", "zh-CN": "生成编码", "zh-TW": "生成編碼"}
NULL	NULL	下载模板	{"en-US": "Download Template", "ja-JP": "テンプレートをダウンロード", "ko-KR": "템플릿 다운로드", "zh-CN": "下载模板", "zh-TW": "下載模板"}
NULL	NULL	设为默认	{"en-US": "label:template:setDefault", "ja-JP": "设为默认", "ko-KR": "label:template:setDefault", "zh-CN": "设为默认", "zh-TW": "设为默认"}
NULL	NULL	导出	{"en-US": "Export", "ja-JP": "エクスポート", "ko-KR": "내보내기", "zh-CN": "导出", "zh-TW": "匯出"}
NULL	NULL	发起审批	{"en-US": "发起审批", "ja-JP": "发起审批", "ko-KR": "发起审批", "zh-CN": "发起审批", "zh-TW": "发起审批"}
androidVersion	SystemAndroidVersion	安卓版本管理	{"en-US": "Android Version", "ja-JP": "Androidバージョン管理", "ko-KR": "안드로이드 버전 관리", "zh-CN": "安卓版本管理", "zh-TW": "安卓版本管理"}
NULL	NULL	分配角色	{"en-US": "Assign Roles", "ja-JP": "ロール割り当て", "ko-KR": "역할 할당", "zh-CN": "分配角色", "zh-TW": "分配角色"}
dict	SystemDict	字典管理	{"en-US": "Dictionary", "ja-JP": "辞書管理", "ko-KR": "사전 관리", "zh-CN": "字典管理", "zh-TW": "字典管理"}
NULL	NULL	复制模板	{"en-US": "label:template:copy", "ja-JP": "复制模板", "ko-KR": "label:template:copy", "zh-CN": "复制模板", "zh-TW": "复制模板"}
NULL	NULL	生成租户	{"en-US": "Generate Tenant", "ja-JP": "テナント生成", "ko-KR": "테넌트 생성", "zh-CN": "生成租户", "zh-TW": "產生租戶"}
NULL	NULL	模板管理	{"en-US": "label:template:manage", "ja-JP": "模板管理", "ko-KR": "label:template:manage", "zh-CN": "模板管理", "zh-TW": "模板管理"}
pageTableConfig	NULL	页表配置	{"en-US": "Page Table Config", "ja-JP": "ページテーブル設定", "ko-KR": "페이지 테이블 설정", "zh-CN": "页表配置", "zh-TW": "頁表配置"}
NULL	NULL	同步第三方	{"en-US": "Sync Third Party", "ja-JP": "第三方同期", "ko-KR": "제3자 동기화", "zh-CN": "同步第三方", "zh-TW": "同步第三方"}
NULL	NULL	发起审查	{"en-US": "Start Review", "ja-JP": "審査開始", "ko-KR": "심사 시작", "zh-CN": "发起审查", "zh-TW": "發起審查"}
loginLog	SystemLoginLog	登录日志	{"en-US": "Login Logs", "ja-JP": "ログインログ", "ko-KR": "로그인 로그", "zh-CN": "登录日志", "zh-TW": "登錄日誌"}
NULL	NULL	从第三方拉取	{"en-US": "Pull From Third Party", "ja-JP": "第三方から取得", "ko-KR": "제3자에서 가져오기", "zh-CN": "从第三方拉取", "zh-TW": "從第三方拉取"}
NULL	NULL	同步第三方	{"en-US": "Sync Third Party", "ja-JP": "サードパーティ同期", "ko-KR": "타사 동기화", "zh-CN": "同步第三方", "zh-TW": "同步第三方"}
excelImportConfig	SystemExcelImportConfig	导入配置	{"en-US": "Import Config", "ja-JP": "インポート設定", "ko-KR": "가져오기 설정", "zh-CN": "导入配置", "zh-TW": "匯入設定"}
NULL	NULL	下载导入模板	{"en-US": "Download Import Template", "ja-JP": "インポートテンプレートダウンロード", "ko-KR": "가져오기 템플릿 다운로드", "zh-CN": "下载导入模板", "zh-TW": "下載匯入模板"}
tableConfig	SystemTableConfig	表格配置	{"en-US": "Table Config", "ja-JP": "テーブル設定", "ko-KR": "테이블 설정", "zh-CN": "表格配置", "zh-TW": "表格設定"}
taskConfig	ApprovalTaskConfig	审批任务配置	{"en-US": "Task Config", "ja-JP": "承認タスク設定", "ko-KR": "승인 작업 구성", "zh-CN": "审批任务配置", "zh-TW": "審批任務配置"}
encodeRule	BasicEncodeRule	编码规则管理	{"en-US": "Encoding Rule Management", "ja-JP": "採番ルール管理", "ko-KR": "인코딩 규칙 관리", "zh-CN": "编码规则管理", "zh-TW": "編碼規則管理"}
i18nLanguageType	SystemI18nLanguageType	语言配置	{"en-US": "Language Configuration", "ja-JP": "言語設定", "ko-KR": "언어 설정", "zh-CN": "语言配置", "zh-TW": "語言設定"}
thirdSystem	IntegrationThirdSystem	第三方系统管理	{"en-US": "Third System Management", "ja-JP": "サードパーティシステム管理", "ko-KR": "타사 시스템 관리", "zh-CN": "第三方系统管理", "zh-TW": "第三方系統管理"}
label	NULL	标签管理	{"en-US": "Label Management", "ja-JP": "ラベル管理", "ko-KR": "라벨 관리", "zh-CN": "标签管理", "zh-TW": "標籤管理"}
NULL	NULL	导入用户	{"en-US": "Import Users", "ja-JP": "ユーザーインポート", "ko-KR": "사용자 가져오기", "zh-CN": "导入用户", "zh-TW": "導入用戶"}
NULL	NULL	导出登录日志	{"en-US": "Export Login Logs", "ja-JP": "ログインログエクスポート", "ko-KR": "로그인 로그 내보내기", "zh-CN": "导出登录日志", "zh-TW": "匯出登錄日誌"}
maintenance	SystemMaintenance	系统运维	{"en-US": "System Maintenance", "ja-JP": "システム運用", "ko-KR": "시스템 운영", "zh-CN": "系统运维", "zh-TW": "系統運維"}
NULL	NULL	下载模板	{"en-US": "Download Template", "ja-JP": "テンプレートダウンロード", "ko-KR": "템플릿 다운로드", "zh-CN": "下载模板", "zh-TW": "下載模板"}
NULL	NULL	导出用户	{"en-US": "Export Users", "ja-JP": "ユーザーエクスポート", "ko-KR": "사용자 내보내기", "zh-CN": "导出用户", "zh-TW": "匯出用戶"}
inviteCode	SystemInviteCode	邀请码管理	{"en-US": "Invite Code Management", "ja-JP": "招待コード管理", "ko-KR": "초대 코드 관리", "zh-CN": "邀请码管理", "zh-TW": "邀請碼管理"}
excelExportConfig	SystemExcelExportConfig	导出配置	{"en-US": "Export Config", "ja-JP": "エクスポート設定", "ko-KR": "내보내기 설정", "zh-CN": "导出配置", "zh-TW": "匯出設定"}
userTableConfig	SystemUserTableConfig	用户列设置	{"en-US": "User Table Config", "ja-JP": "ユーザー列設定", "ko-KR": "사용자 열 설정", "zh-CN": "用户列设置", "zh-TW": "用戶列設置"}
execution/start	ApprovalExecutionStart	发起审批	{"en-US": "Start Approval", "ja-JP": "承認開始", "ko-KR": "승인 시작", "zh-CN": "发起审批", "zh-TW": "發起審批"}
i18nMessage	SystemI18nMessage	多语言消息	{"en-US": "I18n Message", "ja-JP": "多言語メッセージ", "ko-KR": "다국어 메시지", "zh-CN": "多语言消息", "zh-TW": "多語言訊息"}
apiConfig	IntegrationApiConfig	接口配置管理	{"en-US": "API Config Management", "ja-JP": "API設定管理", "ko-KR": "API 설정 관리", "zh-CN": "接口配置管理", "zh-TW": "介面設定管理"}
supplier	BasicSupplier	供应商管理	{"en-US": "Supplier Management", "ja-JP": "サプライヤー管理", "ko-KR": "공급업체 관리", "zh-CN": "供应商管理", "zh-TW": "供應商管理"}
my/pending	ApprovalMyPending	我的待办	{"en-US": "My Pending", "ja-JP": "私の保留中", "ko-KR": "내 대기", "zh-CN": "我的待办", "zh-TW": "我的待辦"}
apiCallLog	IntegrationApiCallLog	调用记录查询	{"en-US": "API Call Log", "ja-JP": "API呼び出しログ", "ko-KR": "API 호출 로그", "zh-CN": "调用记录查询", "zh-TW": "呼叫記錄查詢"}
customer	BasicCustomer	客户管理	{"en-US": "Customer Management", "ja-JP": "顧客管理", "ko-KR": "고객 관리", "zh-CN": "客户管理", "zh-TW": "客戶管理"}
my/processed	ApprovalMyProcessed	我已处理	{"en-US": "My Processed", "ja-JP": "処理済み", "ko-KR": "처리 완료", "zh-CN": "我已处理", "zh-TW": "我已處理"}
material	BasicMaterial	物料管理	{"en-US": "Material Management", "ja-JP": "品目管理", "ko-KR": "자재 관리", "zh-CN": "物料管理", "zh-TW": "物料管理"}
my/initiated	ApprovalMyInitiated	我发起的	{"en-US": "My Initiated", "ja-JP": "開始した", "ko-KR": "시작한", "zh-CN": "我发起的", "zh-TW": "我發起的"}
unit	BasicUnit	计量单位	{"en-US": "Units of Measure", "ja-JP": "計量単位", "ko-KR": "계량 단위", "zh-CN": "计量单位", "zh-TW": "計量單位"}
i18nConfig	NULL	多语言配置	{"en-US": "I18n Config", "ja-JP": "多言語設定", "ko-KR": "다국어 설정", "zh-CN": "多语言配置", "zh-TW": "多語言設定"}
/system/codegen	SystemCodegen	在线开发	{"en-US": "/system/codegen", "ja-JP": "在线开发", "ko-KR": "/system/codegen", "zh-CN": "在线开发", "zh-TW": "在线开发"}
/system/codegenDatasource	SystemCodegenDatasource	代码生成数据源	{"en-US": "/system/codegenDatasource", "ja-JP": "代码生成数据源", "ko-KR": "/system/codegenDatasource", "zh-CN": "代码生成数据源", "zh-TW": "代码生成数据源"}
file	SystemFile	文件管理	{"en-US": "File Management", "ja-JP": "ファイル管理", "ko-KR": "파일 관리", "zh-CN": "文件管理", "zh-TW": "檔案管理"}
onlineDev	NULL	在线开发	{"en-US": "onlineDev", "ja-JP": "在线开发", "ko-KR": "onlineDev", "zh-CN": "在线开发", "zh-TW": "在线开发"}
dictType	SystemDictType	字典类型管理	{"en-US": "Dict Types", "ja-JP": "辞書タイプ", "ko-KR": "사전 유형", "zh-CN": "字典类型管理", "zh-TW": "字典類型管理"}
